decanoic acid_SMILES,decanoic acid_Concentration,decanoate_SMILES,decanoate_Concentration,decylamine_SMILES,decylamine_Concentration,decyl trimethylamine_SMILES,decyl trimethylamine_Concentration,decylsulfate_SMILES,decylsulfate_Concentration,decanol_SMILES,decanol_Concentration,monocaprin_SMILES,monocaprin_Concentration,num_vesicles
CCCCCCCCCC(=O)O,0.5681506903852601,CCCCCCCCCC(=O)[O-],0.965080896043587,CCCCCCCCCCN,0.9555114450274363,CCCCCCCCCC[N+](C)(C)C.[Br-],1.6770965609079151,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.536867219599265,CCCCCCCCCCO,0.2425539448340331,CCCCCCCCCC(=O)OCC(CO)O,0.494696241836107,4
CCCCCCCCCC(=O)O,1.727220948090484,CCCCCCCCCC(=O)[O-],1.6817585740137264,CCCCCCCCCCN,1.4872702784598928,CCCCCCCCCC[N+](C)(C)C.[Br-],0.8754687373538999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5877866649021191,CCCCCCCCCCO,0.6729444732424258,CCCCCCCCCC(=O)OCC(CO)O,0.4916428043492167,20
CCCCCCCCCC(=O)O,0.33289441527332886,CCCCCCCCCC(=O)[O-],1.1233049012584813,CCCCCCCCCCN,1.62924053973028,CCCCCCCCCC[N+](C)(C)C.[Br-],0.9162907318741552,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.749199854809259,CCCCCCCCCCO,0.3238934544143528,CCCCCCCCCC(=O)OCC(CO)O,0.6703901934373291,42
CCCCCCCCCC(=O)O,1.0647107369924282,CCCCCCCCCC(=O)[O-],0.5068176023684519,CCCCCCCCCCN,1.5206066987274849,CCCCCCCCCC[N+](C)(C)C.[Br-],0.49774038421733513,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.0024684281152074,CCCCCCCCCCO,0.4317824164255377,CCCCCCCCCC(=O)OCC(CO)O,0.4478858239921165,10
CCCCCCCCCC(=O)O,1.589235205116581,CCCCCCCCCC(=O)[O-],1.7001922757025645,CCCCCCCCCCN,0.9262410627273231,CCCCCCCCCC[N+](C)(C)C.[Br-],0.7537718023763802,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.7654678421395714,CCCCCCCCCCO,0.4558413154332312,CCCCCCCCCC(=O)OCC(CO)O,0.46058440732924394,16
CCCCCCCCCC(=O)O,0.8219800524029137,CCCCCCCCCC(=O)[O-],0.5766133643039938,CCCCCCCCCCN,1.7316555451583495,CCCCCCCCCC[N+](C)(C)C.[Br-],1.7360705633674662,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2151113796169455,CCCCCCCCCCO,0.7677907235557111,CCCCCCCCCC(=O)OCC(CO)O,0.44468582126144574,8
CCCCCCCCCC(=O)O,1.170932950247736,CCCCCCCCCC(=O)[O-],1.7092832474038169,CCCCCCCCCCN,1.667706820558076,CCCCCCCCCC[N+](C)(C)C.[Br-],1.2809338454620642,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5596157879354227,CCCCCCCCCCO,0.795252403497099,CCCCCCCCCC(=O)OCC(CO)O,0.12575120530556025,7
CCCCCCCCCC(=O)O,1.1314021114911006,CCCCCCCCCC(=O)[O-],0.8544153281560676,CCCCCCCCCCN,0.6906440503418267,CCCCCCCCCC[N+](C)(C)C.[Br-],1.6863989535702288,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.965080896043587,CCCCCCCCCCO,0.8415671856782186,CCCCCCCCCC(=O)OCC(CO)O,0.6830968447064438,8
CCCCCCCCCC(=O)O,1.7182923173461826,CCCCCCCCCC(=O)[O-],0.4317824164255377,CCCCCCCCCCN,0.4317824164255377,CCCCCCCCCC[N+](C)(C)C.[Br-],1.55814461804655,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.7055697005585024,CCCCCCCCCCO,0.6056811547786695,CCCCCCCCCC(=O)OCC(CO)O,0.6575200029167942,28
CCCCCCCCCC(=O)O,0.4054651081081644,CCCCCCCCCC(=O)[O-],0.3681093215643954,CCCCCCCCCCN,0.03246719013750139,CCCCCCCCCC[N+](C)(C)C.[Br-],0.8754687373538999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.01160091167848,CCCCCCCCCCO,0.3346849260471172,CCCCCCCCCC(=O)OCC(CO)O,0.2963940130538024,4
