smi1,conc1,smi2,conc2,smi3,conc3,smi4,conc4,smi5,conc5,smi6,conc6,smi7,conc7,vesicles_formation
CCCCCCCCCC(=O)O,3.1500000000000004,CCCCCCCCCC(=O)[O-],0.2299999999999999,CCCCCCCCCCN,4.075,CCCCCCCCCC[N+](C)(C)C.[Br-],1.25,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.855,CCCCCCCCCCO,0.1439999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.1169999999999998,5
CCCCCCCCCC(=O)O,3.725,CCCCCCCCCC(=O)[O-],0.735,CCCCCCCCCCN,2.375,CCCCCCCCCC[N+](C)(C)C.[Br-],0.3749999999999999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.05,CCCCCCCCCCO,0.3975,CCCCCCCCCC(=O)OCC(CO)O,0.56,28
CCCCCCCCCC(=O)O,0.765,CCCCCCCCCC(=O)[O-],1.625,CCCCCCCCCCN,1.6,CCCCCCCCCC[N+](C)(C)C.[Br-],4.35,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.65,CCCCCCCCCCO,0.2745,CCCCCCCCCC(=O)OCC(CO)O,0.6399999999999999,4
CCCCCCCCCC(=O)O,4.625000000000002,CCCCCCCCCC(=O)[O-],4.375,CCCCCCCCCCN,3.425,CCCCCCCCCC[N+](C)(C)C.[Br-],1.3999999999999997,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8,CCCCCCCCCCO,0.96,CCCCCCCCCC(=O)OCC(CO)O,0.635,20
CCCCCCCCCC(=O)O,0.3949999999999999,CCCCCCCCCC(=O)[O-],2.075,CCCCCCCCCCN,4.1,CCCCCCCCCC[N+](C)(C)C.[Br-],1.5000000000000004,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.75,CCCCCCCCCCO,0.3825,CCCCCCCCCC(=O)OCC(CO)O,0.955,42
CCCCCCCCCC(=O)O,1.8999999999999997,CCCCCCCCCC(=O)[O-],0.66,CCCCCCCCCCN,3.575000000000001,CCCCCCCCCC[N+](C)(C)C.[Br-],0.6449999999999999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.725,CCCCCCCCCCO,0.5399999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.565,10
CCCCCCCCCC(=O)O,3.9,CCCCCCCCCC(=O)[O-],4.475,CCCCCCCCCCN,1.525,CCCCCCCCCC[N+](C)(C)C.[Br-],1.125,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.15,CCCCCCCCCCO,0.5775,CCCCCCCCCC(=O)OCC(CO)O,0.585,16
CCCCCCCCCC(=O)O,1.275,CCCCCCCCCC(=O)[O-],0.78,CCCCCCCCCCN,4.6499999999999995,CCCCCCCCCC[N+](C)(C)C.[Br-],4.674999999999999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.24,CCCCCCCCCCO,1.155,CCCCCCCCCC(=O)OCC(CO)O,0.56,8
CCCCCCCCCC(=O)O,2.2250000000000005,CCCCCCCCCC(=O)[O-],4.525000000000002,CCCCCCCCCCN,4.3,CCCCCCCCCC[N+](C)(C)C.[Br-],2.5999999999999996,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.75,CCCCCCCCCCO,1.215,CCCCCCCCCC(=O)OCC(CO)O,0.1339999999999999,7
CCCCCCCCCC(=O)O,2.1,CCCCCCCCCC(=O)[O-],1.35,CCCCCCCCCCN,0.995,CCCCCCCCCC[N+](C)(C)C.[Br-],4.4,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.625,CCCCCCCCCCO,1.32,CCCCCCCCCC(=O)OCC(CO)O,0.98,8
CCCCCCCCCC(=O)O,4.575000000000001,CCCCCCCCCC(=O)[O-],0.5399999999999999,CCCCCCCCCCN,0.5399999999999999,CCCCCCCCCC[N+](C)(C)C.[Br-],3.75,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.025,CCCCCCCCCCO,0.8324999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.9300000000000002,28
CCCCCCCCCC(=O)O,0.5,CCCCCCCCCC(=O)[O-],0.4449999999999999,CCCCCCCCCCN,0.0329999999999999,CCCCCCCCCC[N+](C)(C)C.[Br-],1.3999999999999997,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.7500000000000004,CCCCCCCCCCO,0.3975,CCCCCCCCCC(=O)OCC(CO)O,0.345,4
CCCCCCCCCC(=O)O,5.0,CCCCCCCCCC(=O)[O-],0.91,CCCCCCCCCCN,0.0599999999999999,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.125,CCCCCCCCCCO,0.1124999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.3999999999999999,0
CCCCCCCCCC(=O)O,3.625,CCCCCCCCCC(=O)[O-],0.3749999999999999,CCCCCCCCCCN,0.57,CCCCCCCCCC[N+](C)(C)C.[Br-],0.6849999999999999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.9200000000000002,CCCCCCCCCCO,0.0,CCCCCCCCCC(=O)OCC(CO)O,0.28,1
CCCCCCCCCC(=O)O,0.435,CCCCCCCCCC(=O)[O-],0.99,CCCCCCCCCCN,0.0239999999999999,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.85,CCCCCCCCCCO,0.4725,CCCCCCCCCC(=O)OCC(CO)O,0.5399999999999999,0
CCCCCCCCCC(=O)O,3.0,CCCCCCCCCC(=O)[O-],0.345,CCCCCCCCCCN,1.6,CCCCCCCCCC[N+](C)(C)C.[Br-],2.675,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.485,CCCCCCCCCCO,0.765,CCCCCCCCCC(=O)OCC(CO)O,0.205,0
CCCCCCCCCC(=O)O,0.86,CCCCCCCCCC(=O)[O-],0.565,CCCCCCCCCCN,0.83,CCCCCCCCCC[N+](C)(C)C.[Br-],1.2,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.865,CCCCCCCCCCO,0.4499999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.1479999999999999,1
CCCCCCCCCC(=O)O,1.225,CCCCCCCCCC(=O)[O-],0.4549999999999999,CCCCCCCCCCN,0.195,CCCCCCCCCC[N+](C)(C)C.[Br-],0.8749999999999999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.55,CCCCCCCCCCO,1.1625,CCCCCCCCCC(=O)OCC(CO)O,0.3699999999999999,2
CCCCCCCCCC(=O)O,1.05,CCCCCCCCCC(=O)[O-],0.2449999999999999,CCCCCCCCCCN,0.4199999999999999,CCCCCCCCCC[N+](C)(C)C.[Br-],1.65,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8400000000000001,CCCCCCCCCCO,0.7725,CCCCCCCCCC(=O)OCC(CO)O,0.285,0
CCCCCCCCCC(=O)O,0.6900000000000001,CCCCCCCCCC(=O)[O-],0.171,CCCCCCCCCCN,0.6,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.7500000000000004,CCCCCCCCCCO,1.5000000000000004,CCCCCCCCCC(=O)OCC(CO)O,0.3849999999999999,0
CCCCCCCCCC(=O)O,1.625,CCCCCCCCCC(=O)[O-],0.0,CCCCCCCCCCN,2.525,CCCCCCCCCC[N+](C)(C)C.[Br-],0.1249999999999999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.61,CCCCCCCCCCO,0.9375,CCCCCCCCCC(=O)OCC(CO)O,0.2699999999999999,0
CCCCCCCCCC(=O)O,0.0229999999999999,CCCCCCCCCC(=O)[O-],0.8850000000000001,CCCCCCCCCCN,0.0,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.225000000000001,CCCCCCCCCCO,1.0875,CCCCCCCCCC(=O)OCC(CO)O,0.57,0
CCCCCCCCCC(=O)O,1.525,CCCCCCCCCC(=O)[O-],0.965,CCCCCCCCCCN,0.0,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.7500000000000004,CCCCCCCCCCO,0.6299999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.4449999999999999,0
CCCCCCCCCC(=O)O,1.225,CCCCCCCCCC(=O)[O-],1.1,CCCCCCCCCCN,0.6900000000000001,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0219999999999999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.55,CCCCCCCCCCO,0.66,CCCCCCCCCC(=O)OCC(CO)O,0.22,0
CCCCCCCCCC(=O)O,3.725,CCCCCCCCCC(=O)[O-],0.475,CCCCCCCCCCN,1.05,CCCCCCCCCC[N+](C)(C)C.[Br-],0.99,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.025,CCCCCCCCCCO,0.9075,CCCCCCCCCC(=O)OCC(CO)O,0.196,1
CCCCCCCCCC(=O)O,0.745,CCCCCCCCCC(=O)[O-],0.51,CCCCCCCCCCN,0.0929999999999999,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.8,CCCCCCCCCCO,0.8775,CCCCCCCCCC(=O)OCC(CO)O,0.22,0
CCCCCCCCCC(=O)O,3.775,CCCCCCCCCC(=O)[O-],0.56,CCCCCCCCCCN,0.198,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.9,CCCCCCCCCCO,0.825,CCCCCCCCCC(=O)OCC(CO)O,0.0739999999999999,0
CCCCCCCCCC(=O)O,0.605,CCCCCCCCCC(=O)[O-],0.3149999999999999,CCCCCCCCCCN,0.0,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0089999999999999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.75,CCCCCCCCCCO,0.2789999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.3949999999999999,0
CCCCCCCCCC(=O)O,1.05,CCCCCCCCCC(=O)[O-],1.25,CCCCCCCCCCN,0.3849999999999999,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.6750000000000005,CCCCCCCCCCO,0.0855,CCCCCCCCCC(=O)OCC(CO)O,0.3149999999999999,0
CCCCCCCCCC(=O)O,0.71,CCCCCCCCCC(=O)[O-],0.0,CCCCCCCCCCN,0.4699999999999999,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.4,CCCCCCCCCCO,0.4425,CCCCCCCCCC(=O)OCC(CO)O,0.555,1
CCCCCCCCCC(=O)O,0.0339999999999999,CCCCCCCCCC(=O)[O-],0.8400000000000001,CCCCCCCCCCN,0.89,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.525,CCCCCCCCCCO,0.57,CCCCCCCCCC(=O)OCC(CO)O,0.4249999999999999,0
CCCCCCCCCC(=O)O,2.0000000000000004,CCCCCCCCCC(=O)[O-],0.0759999999999999,CCCCCCCCCCN,0.1279999999999999,CCCCCCCCCC[N+](C)(C)C.[Br-],1.125,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.705,CCCCCCCCCCO,0.2684999999999998,CCCCCCCCCC(=O)OCC(CO)O,0.3099999999999999,0
CCCCCCCCCC(=O)O,2.425,CCCCCCCCCC(=O)[O-],0.0619999999999999,CCCCCCCCCCN,0.51,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.7750000000000008,CCCCCCCCCCO,0.87,CCCCCCCCCC(=O)OCC(CO)O,0.3249999999999999,1
CCCCCCCCCC(=O)O,3.0,CCCCCCCCCC(=O)[O-],1.175,CCCCCCCCCCN,0.71,CCCCCCCCCC[N+](C)(C)C.[Br-],0.94,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.595,CCCCCCCCCCO,0.0,CCCCCCCCCC(=O)OCC(CO)O,0.1549999999999999,2
CCCCCCCCCC(=O)O,4.700000000000001,CCCCCCCCCC(=O)[O-],0.1099999999999999,CCCCCCCCCCN,0.49,CCCCCCCCCC[N+](C)(C)C.[Br-],1.95,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.3249999999999999,CCCCCCCCCCO,0.4949999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.2299999999999999,0
CCCCCCCCCC(=O)O,3.125000000000001,CCCCCCCCCC(=O)[O-],0.3499999999999998,CCCCCCCCCCN,1.875,CCCCCCCCCC[N+](C)(C)C.[Br-],0.98,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.77,CCCCCCCCCCO,0.735,CCCCCCCCCC(=O)OCC(CO)O,0.1359999999999999,6
